Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Celiac Disease,34/312,2.056982588033606E-56,2.021602487519428E-52,0,0,54.48717948717949,6986.538224519504,IL21;CD80;HMGB1;FUT2;ETS1;HIF1A;TNF;INS;DPP4;ZMIZ1;IL12A;TNFRSF14;CD14;CCR4;HLA-DQA1;TGM2;IL10;TGFB1;IL15;STAT1;VDR;THEMIS;MTHFR;RUNX3;IL2;SOD1;IL6;IFNG;IL1B;IL2RA;IRF1;TLR4;HLA-DRB1;IL17A
Autoimmune Diseases,36/1060,4.9734704277960355E-42,2.443963368218972E-38,0,0,16.9811320754717,1614.9813288811408,IL21;CD80;AHR;HMGB1;PRL;FUT2;ETS1;TNF;INS;DPP4;ZMIZ1;TNFRSF14;CD14;IL6R;HLA-DQA1;TGM2;IL10;TGFB1;IL15;STAT1;VDR;TNFRSF9;MTHFR;RUNX3;IL2;SOD1;CXCL10;IL6;IFNG;IL1B;IL2RA;IRF1;S100A9;TLR4;HLA-DRB1;IL17A
Multiple Sclerosis,34/1106,3.0576998089502292E-37,1.001702457412095E-33,0,0,15.370705244122965,1292.3379327001257,IL21;CD80;HMGB1;PRL;ETS1;HIF1A;TNF;INS;DPP4;ZMIZ1;IL12A;CD14;CCR4;IL6R;HLA-DQA1;TGM2;IL10;TGFB1;IL15;STAT1;VDR;TNFRSF9;MTHFR;IL2;SOD1;CXCL10;IL6;IFNG;IL1B;IL2RA;IRF1;TLR4;HLA-DRB1;IL17A
Asthma,35/1313,1.2441668191611691E-36,3.0569178746789925E-33,0,0,13.328255902513328,1101.908188964556,IL21;CD80;AHR;HMGB1;ETS1;HIF1A;TNF;ZMIZ1;IL12A;TNFRSF14;CD14;CCR4;IL6R;HLA-DQA1;TGM2;IL10;TGFB1;IL15;STAT1;VDR;TNFRSF9;MTHFR;RUNX3;IL2;SOD1;CXCL10;IL6;IFNG;IL1B;IL2RA;IRF1;S100A9;TLR4;HLA-DRB1;IL17A
Infection,28/492,1.745210782711024E-36,3.4303863144967885E-33,0,0,28.455284552845526,2342.899658736954,IL21;CD80;HMGB1;FUT2;HIF1A;TNF;DPP4;TNFRSF14;CD14;HLA-DQA1;IL10;TGFB1;IL15;STAT1;VDR;MTHFR;RUNX3;IL2;SOD1;CXCL10;IL6;IFNG;IL1B;IL2RA;IRF1;TLR4;HLA-DRB1;IL17A
Inflammatory Bowel Diseases,32/911,3.7685901023776895E-36,6.172950587694655E-33,0,0,17.56311745334797,1432.5596029755811,IL21;AHR;HMGB1;FUT2;ETS1;HIF1A;TNF;DPP4;ZMIZ1;IL12A;TNFRSF14;CD14;IL6R;HLA-DQA1;IL10;TGFB1;IL15;VDR;MTHFR;RUNX3;IL2;SOD1;CXCL10;IL6;IFNG;IL1B;IL2RA;IRF1;S100A9;TLR4;HLA-DRB1;IL17A
Psoriasis,31/818,1.0159523491426662E-35,1.4263970981963033E-32,0,0,18.94865525672372,1526.781299524905,IL21;AHR;PRL;FUT2;ETS1;TNF;ZMIZ1;TNFRSF14;CD14;CCR4;IL6R;HLA-DQA1;TGM2;IL10;TGFB1;IL15;VDR;TNFRSF9;MTHFR;RUNX3;IL2;CXCL10;IL6;IFNG;IL1B;IL2RA;IRF1;S100A9;TLR4;HLA-DRB1;IL17A
Ulcerative Colitis,31/915,3.336769023725563E-34,4.0992207456468545E-31,0,0,16.93989071038251,1305.7757353093998,IL21;CD80;AHR;HMGB1;FUT2;ETS1;TNF;ZMIZ1;TNFRSF14;CD14;IL6R;TGM2;IL10;TGFB1;IL15;STAT1;VDR;TNFRSF9;MTHFR;RUNX3;IL2;CXCL10;IL6;IFNG;IL1B;IL2RA;IRF1;S100A9;TLR4;HLA-DRB1;IL17A
Diabetes Mellitus,31/956,1.3033368611173034E-33,1.4232438523400952E-30,0,0,16.213389121338913,1227.6839898425158,IL21;CD80;HMGB1;FUT2;TNF;INS;ZMIZ1;IL12A;CD14;CCR4;IL6R;HLA-DQA1;TGM2;IL10;TGFB1;IL15;STAT1;VDR;TNFRSF9;THEMIS;MTHFR;IL2;SOD1;CXCL10;IL6;IFNG;IL1B;IL2RA;TLR4;HLA-DRB1;IL17A
Eczema,26/454,1.5293097129827876E-33,1.5030055859194837E-30,0,0,28.634361233480178,2163.6264115451218,IL21;CD80;AHR;HMGB1;TNF;DPP4;IL12A;CD14;CCR4;IL6R;IL10;TGFB1;IL15;STAT1;VDR;MTHFR;IL2;CXCL10;IL6;IFNG;IL1B;IL2RA;S100A9;TLR4;HLA-DRB1;IL17A
Rheumatoid Arthritis,36/1833,1.9986030276776542E-33,1.785660959637817E-30,0,0,9.819967266775777,739.3734168752194,IL21;CD80;AHR;HMGB1;PRL;ETS1;HIF1A;TNF;INS;DPP4;IL12A;TNFRSF14;CD14;CCR4;IL6R;HLA-DQA1;TGM2;IL10;TGFB1;IL15;STAT1;VDR;TNFRSF9;MTHFR;IL2;SOD1;CXCL10;IL6;IFNG;IL1B;IL2RA;IRF1;S100A9;TLR4;HLA-DRB1;IL17A
Lupus Erythematosus, Systemic,32/1113,2.3318495175161505E-33,1.9097847548457273E-30,0,0,14.375561545372866,1080.160234778284,IL21;CD80;HMGB1;PRL;FUT2;ETS1;TNF;ZMIZ1;IL12A;TNFRSF14;CD14;CCR4;IL6R;HLA-DQA1;IL10;TGFB1;IL15;STAT1;VDR;MTHFR;IL2;SOD1;CXCL10;IL6;IFNG;IL1B;IL2RA;IRF1;S100A9;TLR4;HLA-DRB1;IL17A
Juvenile arthritis,24/326,2.6133084684519735E-33,1.975661202149692E-30,0,0,36.809815950920246,2761.6450688752466,IL21;IL10;STAT1;VDR;MTHFR;HMGB1;FUT2;HIF1A;TNF;IL2;DPP4;CXCL10;IL6;IFNG;ZMIZ1;IL1B;IL2RA;IRF1;CD14;CCR4;IL6R;TLR4;HLA-DRB1;IL17A
Periodontal Diseases,19/137,2.3955998635320254E-31,1.681711104199482E-28,0,0,69.34306569343066,4889.137153828809,IL21;IL10;IL15;STAT1;VDR;CD80;HIF1A;TNF;IL2;CXCL10;IL6;IFNG;IL1B;IL2RA;IRF1;CD14;TLR4;HLA-DRB1;IL17A
Hepatitis B, Chronic,21/238,1.6887286217677326E-30,1.1064549929822183E-27,0,0,44.11764705882353,3024.4225075947406,IL21;IL10;TGFB1;STAT1;VDR;CD80;TNFRSF9;HMGB1;TNF;RUNX3;IL2;CXCL10;IL6;IFNG;IL1B;IL2RA;CD14;TLR4;HLA-DQA1;HLA-DRB1;IL17A
Arthritis,26/630,8.33699139807042E-30,5.120996966264756E-27,0,0,20.634920634920633,1381.6492936003538,IL21;CD80;AHR;HMGB1;PRL;ETS1;HIF1A;TNF;DPP4;IL12A;TNFRSF14;HLA-DQA1;IL10;IL15;VDR;MTHFR;IL2;CXCL10;IL6;IFNG;IL1B;IL2RA;S100A9;TLR4;HLA-DRB1;IL17A
Juvenile rheumatoid arthritis,18/131,1.4672071591521325E-29,8.482183505968917E-27,0,0,68.70229007633588,4561.255442394511,IL10;IL15;VDR;MTHFR;HMGB1;TNF;IL2;CXCL10;IL6;IFNG;IL1B;IL2RA;IRF1;CD14;CCR4;TLR4;HLA-DQA1;HLA-DRB1
Graves Disease,22/335,3.654653145535456E-29,1.9954406174623592E-26,0,0,32.83582089552239,2150.055616639587,IL21;IL10;TGFB1;IL15;VDR;FUT2;ETS1;HIF1A;TNF;IL2;INS;CXCL10;IL6;IFNG;IL1B;IL2RA;IL12A;CD14;HLA-DQA1;HLA-DRB1;TGM2;IL17A
Dermatitis, Atopic,24/484,4.054003754819946E-29,2.0969867843352858E-26,0,0,24.793388429752067,1620.87428237843,IL21;IL10;TGFB1;IL15;VDR;MTHFR;AHR;HMGB1;TNF;IL2;DPP4;CXCL10;IL6;IFNG;IL1B;IL2RA;IL12A;TNFRSF14;CD14;CCR4;IL6R;S100A9;TLR4;IL17A
Allergic asthma,19/197,3.3844038775451627E-28,1.663096065425693E-25,0,0,48.223350253807105,3050.2814507132866,IL21;IL10;TGFB1;VDR;TNFRSF9;HMGB1;HIF1A;TNF;IL2;IL6;IFNG;IL1B;IL2RA;IRF1;CD14;CCR4;TLR4;HLA-DRB1;IL17A
