tax_id,Org_name,GeneID,CurrentID,Status,Symbol,Aliases,description,other_designations,map_location,chromosome,genomic_nucleotide_accession.version,start_position_on_the_genomic_accession,end_position_on_the_genomic_accession,orientation,exon_count,OMIM
9606,Homo sapiens,1493,0,live,CTLA4,"ALPS5, CD, CD152, CELIAC3, CTLA-4, GRD4, GSE, IDDM12",cytotoxic T-lymphocyte associated protein 4,cytotoxic T-lymphocyte protein 4|celiac disease 3|cytotoxic T lymphocyte associated antigen 4 short spliced form|cytotoxic T-lymphocyte-associated serine esterase-4|insulin-dependent diabetes mellitus 12|ligand and transmembrane spliced cytotoxic T lymphocyte associated antigen 4,2q33.2,2,NC_000002.12,203867771,203873965,plus,4,123890
9606,Homo sapiens,3558,0,live,IL2,"IL-2, TCGF, lymphokine",interleukin 2,interleukin-2|T cell growth factor|aldesleukin|involved in regulation of T-cell clonal expansion,4q27,4,NC_000004.12,122451470,122456725,minus,4,147680
9606,Homo sapiens,59067,0,live,IL21,"CVID11, IL-21, Za11",interleukin 21,interleukin-21,4q27,4,NC_000004.12,122610108,122621066,minus,5,605384
9606,Homo sapiens,356,0,live,FASLG,"ALPS1B, APT1LG1, APTL, CD178, CD95-L, CD95L, FASL, TNFSF6, TNLG1A",Fas ligand,"tumor necrosis factor ligand superfamily member 6|CD95 ligand|Fas ligand (TNF superfamily, member 6)|apoptosis (APO-1) antigen ligand 1|apoptosis antigen ligand|fas antigen ligand|mutant tumor necrosis factor family member 6|tumor necrosis factor ligand 1A",1q24.3,1,NC_000001.11,172659103,172666876,plus,4,134638
9606,Homo sapiens,729230,0,live,CCR2,"CC-CKR-2, CCR-2A, CCR2B, CD192, CKR2, CKR2A, CKR2B, CMKBR2, MCP-1-R, CCR2",C-C motif chemokine receptor 2,C-C chemokine receptor type 2|MCP-1 receptor|chemokine (C-C motif) receptor 2|monocyte chemoattractant protein 1 receptor|monocyte chemotactic protein 1 receptor,3p21.31,3,NC_000003.12,46354111,46360940,plus,3,601267
9606,Homo sapiens,3117,0,live,HLA-DQA1,"CELIAC1, DQ-A1, DQA1, HLA-DQA","major histocompatibility complex, class II, DQ alpha 1","HLA class II histocompatibility antigen, DQ alpha 1 chain|DC-1 alpha chain|DC-alpha|HLA class II histocompatibility antigen DQ alpha chain|HLA-DCA|MHC HLA-DQ alpha|MHC class II DQ alpha chain|MHC class II DQA1|MHC class II HLA-DQ-alpha-1|MHC class II antigen DQA1|MHC class II protein|truncated MHC class II antigen",6p21.32,6,NC_000006.12,32637406,32654846,plus,6,146880
9606,Homo sapiens,1232,0,live,CCR3,"C C CKR3, CC-CKR-3, CD193, CKR 3, CKR3, CMKBR3",C-C motif chemokine receptor 3,C-C chemokine receptor type 3|C-C CKR-3|CC chemokine receptor 3|CCR-3|b-chemokine receptor|chemokine (C-C motif) receptor 3|eosinophil CC chemokine receptor 3|eosinophil eotaxin receptor,3p21.31,3,NC_000003.12,46210699,46266706,plus,6,601268
9606,Homo sapiens,6311,0,live,ATXN2,"ATX2, SCA2, TNRC13",ataxin 2,ataxin-2|spinocerebellar ataxia type 2 protein|trinucleotide repeat-containing gene 13 protein,12q24.12,12,NC_000012.12,111452214,111599673,minus,27,601517
9606,Homo sapiens,3119,0,live,HLA-DQB1,"CELIAC1, HLA-DQB, IDDM1","major histocompatibility complex, class II, DQ beta 1","HLA class II histocompatibility antigen, DQ beta 1 chain|MHC class II DQ beta chain|MHC class II HLA-DQ beta glycoprotein|MHC class II antigen DQB1|MHC class II antigen HLA-DQ-beta-1",6p21.32,6,NC_000006.12,32659467,32666657,minus,6,604305
9606,Homo sapiens,7292,0,live,TNFSF4,"CD134L, CD252, GP34, OX-40L, OX4OL, TNLG2B, TXGP1",TNF superfamily member 4,tumor necrosis factor ligand superfamily member 4|CD134 ligand|OX40 antigen ligand|glycoprotein Gp34|tax-transcriptionally activated glycoprotein 1 (34kD)|tumor necrosis factor (ligand) superfamily member 4|tumor necrosis factor ligand 2B|tumor necrosis factor superfamily member 4,1q25.1,1,NC_000001.11,173183729,173462208,minus,13,603594
